id;start_date;end_date;language
1;2019-05-08T15:16:51;2019-05-08T08:25:08;FRENCH
2;2019-05-08T16:46:56;2019-05-08T01:53:06;FRENCH
3;2019-05-08T12:19:01;2019-05-08T03:43:01;FRENCH
4;2019-05-08T01:30:52;2019-05-08T08:57:54;FRENCH
5;2019-05-08T10:29:31;2019-05-08T15:13:40;FRENCH
6;2019-05-08T16:46:32;2019-05-08T18:03:28;FRENCH
7;2019-05-08T02:08:51;2019-05-08T14:49:38;FRENCH
8;2019-05-07T23:40:10;2019-05-08T07:40:19;FRENCH
9;2019-05-08T09:28:16;2019-05-08T17:52:54;FRENCH
10;2019-05-08T12:46:26;2019-05-08T10:02:40;FRENCH
